,id,label
0,26,0
1,28,1
2,29,1
3,30,3
4,31,2
5,33,2
6,68,0
7,69,1
8,70,1
9,71,1
10,72,1
11,73,2
12,75,2
13,76,2
14,78,2
15,79,2
16,81,0
17,82,0
18,116,0
19,117,2
20,118,2
21,119,1
22,120,2
23,122,2
24,123,1
25,124,2
26,125,3
27,126,3
28,127,0
29,129,0
30,132,1
31,133,0
32,164,0
33,165,1
34,167,1
35,171,1
36,173,2
37,175,1
38,176,2
39,178,0
40,180,1
41,182,1
42,212,0
43,213,0
44,215,2
45,216,2
46,217,2
47,218,2
48,219,1
49,220,1
50,221,3
51,222,3
52,223,1
53,225,2
54,226,1
55,227,2
56,228,1
57,233,0
58,260,1
59,261,1
60,264,1
61,265,1
62,267,2
63,268,2
64,270,3
65,271,2
66,272,3
67,274,1
68,275,1
69,278,1
70,280,1
71,281,1
72,309,1
73,312,2
74,313,1
75,314,1
76,316,2
77,317,3
78,318,0
79,321,3
80,322,1
81,323,0
82,324,1
83,325,1
84,327,0
85,328,1
86,329,0
87,330,1
88,352,1
89,353,0
90,355,0
91,357,2
92,358,2
93,359,2
94,360,2
95,362,1
96,364,3
97,365,3
98,366,1
99,368,2
100,369,1
101,370,2
102,371,2
103,372,2
104,373,0
105,374,0
106,376,1
107,377,1
108,378,1
109,401,1
110,403,2
111,404,1
112,405,1
113,406,2
114,407,1
115,409,2
116,411,2
117,412,3
118,413,2
119,414,1
120,415,3
121,416,1
122,417,1
123,419,2
124,420,3
125,421,2
126,423,1
127,424,2
128,425,1
129,426,0
130,445,0
131,446,0
132,447,0
133,449,2
134,451,2
135,453,2
136,454,2
137,455,2
138,457,2
139,458,2
140,461,1
141,463,2
142,464,2
143,465,3
144,467,2
145,468,2
146,470,1
147,471,2
148,472,1
149,473,1
150,474,0
151,492,0
152,493,0
153,494,1
154,495,0
155,496,2
156,497,2
157,499,1
158,500,2
159,501,3
160,504,2
161,505,2
162,507,3
163,508,0
164,509,0
165,510,3
166,512,1
167,513,1
168,514,2
169,515,1
170,517,1
171,518,2
172,519,2
173,520,1
174,521,1
175,522,0
176,540,1
177,541,1
178,542,1
179,543,0
180,544,0
181,545,1
182,547,2
183,548,2
184,551,2
185,552,2
186,553,2
187,554,3
188,556,1
189,557,3
190,560,2
191,562,2
192,563,1
193,564,2
194,565,2
195,567,3
196,568,1
197,569,1
198,570,0
199,585,0
200,589,1
201,592,1
202,595,2
203,596,2
204,599,2
205,600,2
206,601,1
207,605,2
208,611,2
209,612,2
210,613,1
211,615,1
212,616,0
213,617,1
214,618,0
215,633,0
216,634,0
217,635,2
218,636,2
219,637,1
220,638,1
221,639,1
222,641,2
223,642,2
224,643,1
225,645,2
226,646,2
227,647,1
228,648,1
229,651,0
230,652,2
231,653,2
232,656,2
233,657,3
234,658,3
235,659,1
236,661,2
237,662,3
238,663,1
239,664,1
240,665,1
241,666,0
242,682,1
243,683,2
244,685,1
245,687,1
246,688,1
247,689,2
248,690,1
249,691,1
250,692,2
251,693,2
252,695,3
253,696,2
254,697,1
255,698,3
256,700,1
257,702,1
258,703,2
259,704,2
260,706,3
261,707,3
262,709,0
263,710,3
264,711,0
265,712,0
266,713,0
267,714,1
268,725,1
269,726,1
270,729,1
271,730,0
272,732,1
273,733,2
274,734,2
275,735,3
276,736,3
277,737,1
278,739,3
279,740,0
280,741,0
281,744,3
282,746,0
283,747,0
284,749,2
285,751,1
286,752,0
287,753,2
288,754,2
289,755,3
290,757,2
291,758,2
292,759,0
293,761,1
294,762,0
295,773,0
296,774,1
297,776,0
298,777,1
299,780,2
300,781,1
301,782,0
302,784,3
303,787,2
304,788,1
305,789,2
306,790,2
307,791,2
308,792,3
309,794,3
310,795,3
311,796,3
312,799,2
313,800,1
314,801,2
315,802,3
316,803,2
317,805,2
318,806,2
319,807,0
320,808,0
321,809,0
322,810,0
323,820,0
324,822,2
325,824,0
326,825,1
327,826,1
328,827,0
329,828,0
330,829,2
331,830,1
332,831,2
333,832,2
334,833,3
335,834,2
336,835,0
337,836,1
338,838,3
339,841,3
340,842,3
341,843,3
342,844,1
343,846,3
344,847,3
345,848,3
346,849,3
347,850,3
348,851,3
349,852,1
350,853,2
351,854,1
352,855,0
353,856,0
354,857,0
355,858,0
356,869,0
357,870,0
358,871,0
359,872,0
360,873,0
361,874,1
362,875,0
363,877,1
364,878,1
365,880,3
366,882,2
367,883,3
368,884,1
369,885,0
370,886,0
371,887,3
372,888,3
373,889,3
374,890,0
375,891,2
376,892,0
377,893,0
378,895,2
379,899,3
380,901,2
381,902,3
382,907,1
383,918,0
384,919,0
385,920,1
386,921,0
387,922,0
388,923,1
389,924,1
390,927,3
391,928,3
392,929,2
393,930,2
394,931,1
395,933,0
396,936,3
397,937,0
398,938,1
399,939,0
400,941,3
401,943,2
402,944,3
403,945,3
404,946,3
405,947,1
406,948,3
407,949,2
408,953,1
409,955,0
410,967,0
411,968,1
412,969,1
413,970,0
414,971,0
415,972,0
416,973,3
417,974,2
418,975,2
419,977,2
420,979,2
421,980,3
422,983,0
423,984,3
424,986,3
425,989,3
426,990,1
427,992,3
428,993,3
429,994,3
430,995,2
431,997,2
432,998,2
433,999,2
434,1000,0
435,1004,0
436,1009,0
437,1010,0
438,1011,0
439,1014,0
440,1016,1
441,1017,1
442,1019,0
443,1020,2
444,1021,2
445,1022,3
446,1023,3
447,1026,3
448,1028,1
449,1029,0
450,1030,0
451,1031,0
452,1032,0
453,1034,3
454,1035,3
455,1038,3
456,1039,3
457,1040,3
458,1041,3
459,1044,2
460,1045,2
461,1049,0
462,1057,0
463,1058,0
464,1060,1
465,1062,0
466,1063,0
467,1065,1
468,1066,2
469,1067,1
470,1068,2
471,1070,2
472,1073,2
473,1075,3
474,1076,3
475,1077,3
476,1078,0
477,1080,0
478,1081,3
479,1082,3
480,1084,3
481,1085,3
482,1086,3
483,1087,2
484,1088,2
485,1089,3
486,1090,2
487,1091,2
488,1092,1
489,1094,2
490,1095,2
491,1096,1
492,1105,0
493,1107,0
494,1110,1
495,1112,2
496,1113,1
497,1115,2
498,1116,3
499,1117,2
500,1118,3
501,1120,2
502,1121,2
503,1122,3
504,1123,3
505,1125,1
506,1126,1
507,1127,3
508,1128,0
509,1129,3
510,1130,3
511,1133,3
512,1134,3
513,1137,2
514,1138,3
515,1140,1
516,1141,1
517,1144,0
518,1152,0
519,1153,0
520,1154,1
521,1155,1
522,1156,1
523,1157,1
524,1159,3
525,1160,3
526,1161,1
527,1162,1
528,1164,2
529,1165,2
530,1166,3
531,1167,3
532,1168,3
533,1169,3
534,1170,1
535,1171,0
536,1173,3
537,1174,3
538,1175,2
539,1178,3
540,1179,3
541,1183,3
542,1185,2
543,1186,2
544,1187,2
545,1188,3
546,1189,1
547,1190,0
548,1193,0
549,1194,0
550,1200,0
551,1201,1
552,1202,1
553,1203,1
554,1205,2
555,1206,2
556,1210,1
557,1211,1
558,1212,2
559,1213,3
560,1214,2
561,1215,3
562,1216,2
563,1217,2
564,1218,2
565,1220,1
566,1221,2
567,1223,3
568,1224,3
569,1225,3
570,1227,3
571,1229,3
572,1232,3
573,1233,2
574,1234,2
575,1235,2
576,1236,2
577,1240,0
578,1248,0
579,1252,2
580,1253,0
581,1254,2
582,1255,0
583,1256,0
584,1257,1
585,1258,3
586,1259,3
587,1260,2
588,1261,3
589,1263,1
590,1264,1
591,1265,1
592,1266,2
593,1267,3
594,1268,2
595,1270,3
596,1271,3
597,1272,3
598,1273,3
599,1274,3
600,1276,3
601,1277,3
602,1278,3
603,1279,3
604,1280,3
605,1282,2
606,1284,0
607,1285,0
608,1286,1
609,1287,2
610,1288,1
611,1289,0
612,1296,0
613,1298,1
614,1299,0
615,1300,2
616,1302,1
617,1303,1
618,1304,2
619,1305,2
620,1306,3
621,1307,3
622,1308,3
623,1309,3
624,1311,3
625,1312,3
626,1313,3
627,1315,2
628,1318,2
629,1321,3
630,1322,3
631,1324,3
632,1325,3
633,1326,3
634,1327,3
635,1330,3
636,1331,2
637,1332,1
638,1334,1
639,1336,0
640,1337,0
641,1338,0
642,1344,0
643,1345,1
644,1348,0
645,1349,2
646,1351,2
647,1352,2
648,1353,3
649,1356,2
650,1357,2
651,1358,2
652,1360,2
653,1361,3
654,1362,3
655,1363,3
656,1364,3
657,1365,3
658,1366,3
659,1367,3
660,1368,3
661,1369,3
662,1370,3
663,1371,2
664,1372,3
665,1373,3
666,1374,3
667,1377,3
668,1378,2
669,1379,3
670,1380,1
671,1381,2
672,1383,1
673,1385,0
674,1386,1
675,1393,0
676,1395,1
677,1396,1
678,1397,1
679,1398,1
680,1399,2
681,1402,2
682,1403,2
683,1404,1
684,1405,3
685,1406,2
686,1408,3
687,1410,2
688,1412,1
689,1413,3
690,1414,3
691,1415,1
692,1416,3
693,1417,3
694,1418,3
695,1419,3
696,1420,2
697,1423,3
698,1427,2
699,1428,1
700,1429,1
701,1430,2
702,1431,2
703,1433,0
704,1444,1
705,1447,1
706,1448,2
707,1449,2
708,1450,3
709,1451,3
710,1453,3
711,1454,3
712,1456,3
713,1457,2
714,1458,1
715,1463,2
716,1464,2
717,1465,3
718,1466,2
719,1467,3
720,1468,3
721,1470,3
722,1471,3
723,1472,3
724,1473,3
725,1474,3
726,1476,2
727,1478,2
728,1479,1
729,1480,1
730,1481,0
731,1491,0
732,1492,0
733,1494,0
734,1497,1
735,1498,3
736,1500,2
737,1501,2
738,1502,3
739,1503,3
740,1504,2
741,1505,2
742,1506,2
743,1507,3
744,1508,3
745,1510,1
746,1512,3
747,1513,3
748,1514,3
749,1516,3
750,1517,2
751,1518,3
752,1519,2
753,1520,3
754,1521,2
755,1522,3
756,1523,2
757,1524,3
758,1525,2
759,1527,1
760,1529,2
761,1530,0
762,1542,0
763,1543,0
764,1544,0
765,1545,0
766,1548,3
767,1549,3
768,1551,3
769,1553,3
770,1555,3
771,1556,3
772,1557,3
773,1558,3
774,1559,3
775,1560,3
776,1561,3
777,1563,3
778,1564,3
779,1565,1
780,1566,1
781,1567,3
782,1568,3
783,1569,3
784,1570,3
785,1574,1
786,1575,2
787,1578,0
788,1579,0
789,1580,0
790,1581,0
791,1582,0
792,1589,0
793,1590,0
794,1592,2
795,1593,0
796,1594,1
797,1595,2
