id,label
26,0
28,1
29,1
30,3
31,2
33,2
68,0
69,1
70,1
71,1
72,1
73,2
75,2
76,2
78,2
79,2
81,0
82,0
116,0
117,2
118,2
119,1
120,2
122,2
123,1
124,2
125,3
126,3
127,0
129,0
132,1
133,0
164,0
165,1
167,1
171,1
173,2
175,1
176,2
178,0
180,1
182,1
212,0
213,0
215,2
216,2
217,2
218,2
219,1
220,1
221,3
222,3
223,1
225,2
226,1
227,2
228,1
233,0
260,1
261,1
264,1
265,1
267,2
268,2
270,3
271,2
272,3
274,1
275,1
278,1
280,1
281,1
309,1
312,2
313,1
314,1
316,2
317,3
318,0
321,3
322,1
323,0
324,1
325,1
327,0
328,1
329,0
330,1
352,1
353,0
355,0
357,2
358,2
359,2
360,2
362,1
364,3
365,3
366,1
368,2
369,1
370,2
371,2
372,2
373,0
374,0
376,1
377,1
378,1
401,1
403,2
404,1
405,1
406,2
407,1
409,2
411,2
412,3
413,2
414,1
415,3
416,1
417,1
419,2
420,3
421,2
423,1
424,2
425,1
426,0
445,0
446,0
447,0
449,2
451,2
453,2
454,2
455,2
457,2
458,2
461,1
463,2
464,2
465,3
467,2
468,2
470,1
471,2
472,1
473,1
474,0
492,0
493,0
494,1
495,0
496,2
497,2
499,1
500,2
501,3
504,2
505,2
507,3
508,0
509,0
510,3
512,1
513,1
514,2
515,1
517,1
518,2
519,2
520,1
521,1
522,0
540,1
541,1
542,1
543,0
544,0
545,1
547,2
548,2
551,2
552,2
553,2
554,3
556,1
557,3
560,2
562,2
563,1
564,2
565,2
567,3
568,1
569,1
570,0
585,0
589,1
592,1
595,2
596,2
599,2
600,2
601,1
605,2
611,2
612,2
613,1
615,1
616,0
617,1
618,0
633,0
634,0
635,2
636,2
637,1
638,1
639,1
641,2
642,2
643,1
645,2
646,2
647,1
648,1
651,0
652,2
653,2
656,2
657,3
658,3
659,1
661,2
662,3
663,1
664,1
665,1
666,0
682,1
683,2
685,1
687,1
688,1
689,2
690,1
691,1
692,2
693,2
695,3
696,2
697,1
698,3
700,1
702,1
703,2
704,2
706,3
707,3
709,0
710,3
711,0
712,0
713,0
714,1
725,1
726,1
729,1
730,0
732,1
733,2
734,2
735,3
736,3
737,1
739,3
740,0
741,0
744,3
746,0
747,0
749,2
751,1
752,0
753,2
754,2
755,3
757,2
758,2
759,0
761,1
762,0
773,0
774,1
776,0
777,1
780,2
781,1
782,0
784,3
787,2
788,1
789,2
790,2
791,2
792,3
794,3
795,3
796,3
799,2
800,1
801,2
802,3
803,2
805,2
806,2
807,0
808,0
809,0
810,0
820,0
822,2
824,0
825,1
826,1
827,0
828,0
829,2
830,1
831,2
832,2
833,3
834,2
835,0
836,1
838,3
841,3
842,3
843,3
844,1
846,3
847,3
848,3
849,3
850,3
851,3
852,1
853,2
854,1
855,0
856,0
857,0
858,0
869,0
870,0
871,0
872,0
873,0
874,1
875,0
877,1
878,1
880,3
882,2
883,3
884,1
885,0
886,0
887,3
888,3
889,3
890,0
891,2
892,0
893,0
895,2
899,3
901,2
902,3
907,1
918,0
919,0
920,1
921,0
922,0
923,1
924,1
927,3
928,3
929,2
930,2
931,1
933,0
936,3
937,0
938,1
939,0
941,3
943,2
944,3
945,3
946,3
947,1
948,3
949,2
953,1
955,0
967,0
968,1
969,1
970,0
971,0
972,0
973,3
974,2
975,2
977,2
979,2
980,3
983,0
984,3
986,3
989,3
990,1
992,3
993,3
994,3
995,2
997,2
998,2
999,2
1000,0
1004,0
1009,0
1010,0
1011,0
1014,0
1016,1
1017,1
1019,0
1020,2
1021,2
1022,3
1023,3
1026,3
1028,1
1029,0
1030,0
1031,0
1032,0
1034,3
1035,3
1038,3
1039,3
1040,3
1041,3
1044,2
1045,2
1049,0
1057,0
1058,0
1060,1
1062,0
1063,0
1065,1
1066,2
1067,1
1068,2
1070,2
1073,2
1075,3
1076,3
1077,3
1078,0
1080,0
1081,3
1082,3
1084,3
1085,3
1086,3
1087,2
1088,2
1089,3
1090,2
1091,2
1092,1
1094,2
1095,2
1096,1
1105,0
1107,0
1110,1
1112,2
1113,1
1115,2
1116,3
1117,2
1118,3
1120,2
1121,2
1122,3
1123,3
1125,1
1126,1
1127,3
1128,0
1129,3
1130,3
1133,3
1134,3
1137,2
1138,3
1140,1
1141,1
1144,0
1152,0
1153,0
1154,1
1155,1
1156,1
1157,1
1159,3
1160,3
1161,1
1162,1
1164,2
1165,2
1166,3
1167,3
1168,3
1169,3
1170,1
1171,0
1173,3
1174,3
1175,2
1178,3
1179,3
1183,3
1185,2
1186,2
1187,2
1188,3
1189,1
1190,0
1193,0
1194,0
1200,0
1201,1
1202,1
1203,1
1205,2
1206,2
1210,1
1211,1
1212,2
1213,3
1214,2
1215,3
1216,2
1217,2
1218,2
1220,1
1221,2
1223,3
1224,3
1225,3
1227,3
1229,3
1232,3
1233,2
1234,2
1235,2
1236,2
1240,0
1248,0
1252,2
1253,0
1254,2
1255,0
1256,0
1257,1
1258,3
1259,3
1260,2
1261,3
1263,1
1264,1
1265,1
1266,2
1267,3
1268,2
1270,3
1271,3
1272,3
1273,3
1274,3
1276,3
1277,3
1278,3
1279,3
1280,3
1282,2
1284,0
1285,0
1286,1
1287,2
1288,1
1289,0
1296,0
1298,1
1299,0
1300,2
1302,1
1303,1
1304,2
1305,2
1306,3
1307,3
1308,3
1309,3
1311,3
1312,3
1313,3
1315,2
1318,2
1321,3
1322,3
1324,3
1325,3
1326,3
1327,3
1330,3
1331,2
1332,1
1334,1
1336,0
1337,0
1338,0
1344,0
1345,1
1348,0
1349,2
1351,2
1352,2
1353,3
1356,2
1357,2
1358,2
1360,2
1361,3
1362,3
1363,3
1364,3
1365,3
1366,3
1367,3
1368,3
1369,3
1370,3
1371,2
1372,3
1373,3
1374,3
1377,3
1378,2
1379,3
1380,1
1381,2
1383,1
1385,0
1386,1
1393,0
1395,1
1396,1
1397,1
1398,1
1399,2
1402,2
1403,2
1404,1
1405,3
1406,2
1408,3
1410,2
1412,1
1413,3
1414,3
1415,1
1416,3
1417,3
1418,3
1419,3
1420,2
1423,3
1427,2
1428,1
1429,1
1430,2
1431,2
1433,0
1444,1
1447,1
1448,2
1449,2
1450,3
1451,3
1453,3
1454,3
1456,3
1457,2
1458,1
1463,2
1464,2
1465,3
1466,2
1467,3
1468,3
1470,3
1471,3
1472,3
1473,3
1474,3
1476,2
1478,2
1479,1
1480,1
1481,0
1491,0
1492,0
1494,0
1497,1
1498,3
1500,2
1501,2
1502,3
1503,3
1504,2
1505,2
1506,2
1507,3
1508,3
1510,1
1512,3
1513,3
